,swear_word,language,script
0,chod,hindi,latin
1,land,hindi,latin
2,lode,hindi,latin
3,5h1t,english,latin
4,5hit,english,latin
5,God,english,latin
6,a55,english,latin
7,a_s_s,english,latin
8,anal,english,latin
9,anus,english,latin
10,ar5e,english,latin
11,arrse,english,latin
12,arse,english,latin
13,ass,english,latin
14,ass-fucker,english,latin
15,asses,english,latin
16,assfucker,english,latin
17,assfukka,english,latin
18,asshole,english,latin
19,assholes,english,latin
20,asswhole,english,latin
21,b!tch,english,latin
22,b00bs,english,latin
23,b17ch,english,latin
24,b1tch,english,latin
25,baable,hindi,latin
26,badir,hindi,latin
27,badirchand,hindi,latin
28,bakland,hindi,latin
29,bakri ki aulad,hindi,latin
30,bakri ki zat,hindi,latin
31,ballbag,english,latin
32,balls,english,latin
33,ballsack,english,latin
34,bandar ki aulad,hindi,latin
35,bandar ki zat,hindi,latin
36,bastard,english,latin
37,beastial,english,latin
38,beastiality,english,latin
39,bellend,english,latin
40,bestial,english,latin
41,bestiality,english,latin
42,bhadwa,hindi,latin
43,bhadwapanti,hindi,latin
44,bhadwe,hindi,latin
45,bhadwi,hindi,latin
46,bhadwon,hindi,latin
47,bhains ki aulad,hindi,latin
48,bhains ki zat,hindi,latin
49,bhandi,hindi,latin
50,bhandwa,hindi,latin
51,bhed ki aulad,hindi,latin
52,bhed ki zat,hindi,latin
53,bhonsri wala,hindi,latin
54,bhosdi,hindi,latin
55,bhosdi wala,hindi,latin
56,bhosdike,hindi,latin
57,bhosri wala,hindi,latin
58,bi+ch,english,latin
59,biatch,english,latin
60,billi ki aulad,hindi,latin
61,billi ki zat,hindi,latin
62,bitch,english,latin
63,bitcher,english,latin
64,bitchers,english,latin
65,bitches,english,latin
66,bitchin,english,latin
67,bitching,english,latin
68,bloody,english,latin
69,blow job,english,latin
70,blowjob,english,latin
71,blowjobs,english,latin
72,boiolas,english,latin
73,bollock,english,latin
74,bollok,english,latin
75,boner,english,latin
76,boob,english,latin
77,boobley,hindi,latin
78,boobs,english,latin
79,booobs,english,latin
80,boooobs,english,latin
81,booooobs,english,latin
82,booooooobs,english,latin
83,breasts,english,latin
84,buceta,english,latin
85,bugger,english,latin
86,bum,english,latin
87,bund,hindi,latin
88,bunny fucker,english,latin
89,bur,hindi,latin
90,butt,english,latin
91,butthole,english,latin
92,buttmuch,english,latin
93,buttplug,english,latin
94,buuble,hindi,latin
95,c0ck,english,latin
96,c0cksucker,english,latin
97,carpet muncher,english,latin
98,cawk,english,latin
99,chakka,hindi,latin
100,chinaal,hindi,latin
101,chink,english,latin
102,chodai,hindi,latin
103,chodela,hindi,latin
104,chodi,hindi,latin
105,chodna,hindi,latin
106,chodne,hindi,latin
107,chodo,hindi,latin
108,chodu,hindi,latin
109,chodva,hindi,latin
110,chuchi,hindi,latin
111,chuchiyan,hindi,latin
112,chud,hindi,latin
113,chuda,hindi,latin
114,chudai,hindi,latin
115,chudi,hindi,latin
116,chudna,hindi,latin
117,chudne,hindi,latin
118,chudo,hindi,latin
119,chudva,hindi,latin
120,chudvana,hindi,latin
121,chut,hindi,latin
122,chut marike,hindi,latin
123,chutiya,hindi,latin
124,chutiyapa,hindi,latin
125,chutmar,hindi,latin
126,chuuche,hindi,latin
127,cipa,english,latin
128,cl1t,english,latin
129,clit,english,latin
130,clitoris,english,latin
131,clits,english,latin
132,cnut,english,latin
133,cock,english,latin
134,cock-sucker,english,latin
135,cockface,english,latin
136,cockhead,english,latin
137,cockmunch,english,latin
138,cockmuncher,english,latin
139,cocks,english,latin
140,cocksuck,english,latin
141,cocksucked,english,latin
142,cocksucker,english,latin
143,cocksucking,english,latin
144,cocksucks,english,latin
145,cocksuka,english,latin
146,cocksukka,english,latin
147,cok,english,latin
148,cokmuncher,english,latin
149,coksucka,english,latin
150,coon,english,latin
151,cox,english,latin
152,crap,english,latin
153,cum,english,latin
154,cummer,english,latin
155,cumming,english,latin
156,cums,english,latin
157,cumshot,english,latin
158,cunilingus,english,latin
159,cunillingus,english,latin
160,cunnilingus,english,latin
161,cunt,english,latin
162,cuntlick,english,latin
163,cuntlicker,english,latin
164,cuntlicking,english,latin
165,cunts,english,latin
166,cyalis,english,latin
167,cyberfuc,english,latin
168,cyberfuck,english,latin
169,cyberfucked,english,latin
170,cyberfucker,english,latin
171,cyberfuckers,english,latin
172,cyberfucking,english,latin
173,d1ck,english,latin
174,damn,english,latin
175,dick,english,latin
176,dickhead,english,latin
177,dildo,english,latin
178,dildos,english,latin
179,dink,english,latin
180,dinks,english,latin
181,dirsa,english,latin
182,dlck,english,latin
183,dog-fucker,english,latin
184,doggin,english,latin
185,dogging,english,latin
186,donkeyribber,english,latin
187,doosh,english,latin
188,duche,english,latin
189,dyke,english,latin
190,ejaculate,english,latin
191,ejaculated,english,latin
192,ejaculates,english,latin
193,ejaculating,english,latin
194,ejaculatings,english,latin
195,ejaculation,english,latin
196,ejakulate,english,latin
197,f u c k,english,latin
198,f u c k e r,english,latin
199,f4nny,english,latin
200,f_u_c_k,english,latin
201,fag,english,latin
202,fagging,english,latin
203,faggitt,english,latin
204,faggot,english,latin
205,faggs,english,latin
206,fagot,english,latin
207,fagots,english,latin
208,fags,english,latin
209,fanny,english,latin
210,fannyflaps,english,latin
211,fannyfucker,english,latin
212,fanyy,english,latin
213,fatass,english,latin
214,fcuk,english,latin
215,fcuker,english,latin
216,fcuking,english,latin
217,feck,english,latin
218,fecker,english,latin
219,felching,english,latin
220,fellate,english,latin
221,fellatio,english,latin
222,fingerfuck,english,latin
223,fingerfucked,english,latin
224,fingerfucker,english,latin
225,fingerfuckers,english,latin
226,fingerfucking,english,latin
227,fingerfucks,english,latin
228,fistfuck,english,latin
229,fistfucked,english,latin
230,fistfucker,english,latin
231,fistfuckers,english,latin
232,fistfucking,english,latin
233,fistfuckings,english,latin
234,fistfucks,english,latin
235,flange,english,latin
236,fook,english,latin
